Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,join_key,tmdb_id
13,1940,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0052940,Rebecca,tt0032976,"Judith Anderson","Judith Anderson",nm0000752,,rebecca,223
13,1940,Production,"ART DIRECTION (Black-and-White)","ART DIRECTION (Black-and-White)",an0052990,Rebecca,tt0032976,"Lyle Wheeler","Lyle Wheeler",nm0923907,,rebecca,223
13,1940,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0052968,"Boom Town",tt0032273,"Harold Rosson","Harold Rosson",nm0005849,,boomtown,55604
13,1940,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0052964,Rebecca,tt0032976,"George Barnes","George Barnes",nm0055604,TRUE,rebecca,223
13,1940,Production,"CINEMATOGRAPHY (Color)","CINEMATOGRAPHY (Color)",an0052976,"The Blue Bird",tt0032264,"Arthur Miller, Ray Rennahan","Arthur Miller, Ray Rennahan","nm0587926,nm0005840",,thebluebird,60400
13,1940,Directing,DIRECTING,DIRECTING,an0052946,Rebecca,tt0032976,"Alfred Hitchcock","Alfred Hitchcock",nm0000033,,rebecca,223
13,1940,Production,"FILM EDITING","FILM EDITING",an0053012,Rebecca,tt0032976,"Hal C. Kern","Hal C. Kern",nm0449456,,rebecca,223
13,1940,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0053045,Pinocchio,tt0032910,"Leigh Harline, Paul J. Smith, Ned Washington","Leigh Harline, Paul J. Smith, Ned Washington","nm0363316,nm1345229,nm0913513",TRUE,pinocchio,10895
13,1940,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0053059,Rebecca,tt0032976,"Franz Waxman","Franz Waxman",nm0000077,,rebecca,223
13,1940,Music,"MUSIC (Original Song)","MUSIC (Song)",an0053027,Pinocchio,tt0032910,"Music by Leigh Harline; Lyrics by Ned Washington","Leigh Harline, Ned Washington","nm0363316,nm0913513",TRUE,pinocchio,10895
13,1940,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052914,Rebecca,tt0032976,"Selznick International Pictures","Selznick International Pictures",co0130901,TRUE,rebecca,223
13,1940,Production,"VISUAL EFFECTS","SPECIAL EFFECTS",an0053014,"The Blue Bird",tt0032264,"Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen","Fred Sersen, E. H. Hansen","nm0785731,nm0360770",,thebluebird,60400
13,1940,Production,"VISUAL EFFECTS","SPECIAL EFFECTS",an0053015,"Boom Town",tt0032273,"Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer","A. Arnold Gillespie, Douglas Shearer","nm0318901,nm0790428",,boomtown,55604
13,1940,Production,"VISUAL EFFECTS","SPECIAL EFFECTS",an0053022,Rebecca,tt0032976,"Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns","Jack Cosgrove, Arthur Johns","nm0181832,nm0424284",,rebecca,223
13,1940,Writing,"WRITING (Adapted Screenplay)","WRITING (Screenplay)",an0052963,Rebecca,tt0032976,"Robert E. Sherwood, Joan Harrison","Robert E. Sherwood, Joan Harrison","nm0792845,nm0365661",,rebecca,223
14,1941,Acting,"ACTOR IN A SUPPORTING ROLE","ACTOR IN A SUPPORTING ROLE",an0056808,"How Green Was My Valley",tt0033729,"Donald Crisp","Donald Crisp",nm0187981,TRUE,howgreenwasmyvalley,43266
14,1941,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0056814,"How Green Was My Valley",tt0033729,"Sara Allgood","Sara Allgood",nm0021329,,howgreenwasmyvalley,43266
14,1941,Production,"ART DIRECTION (Black-and-White)","ART DIRECTION (Black-and-White)",an0056854,"How Green Was My Valley",tt0033729,"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little","Richard Day, Nathan Juran, Thomas Little","nm0206554,nm0432846,nm0514673",TRUE,howgreenwasmyvalley,43266
14,1941,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0056838,"How Green Was My Valley",tt0033729,"Arthur Miller","Arthur Miller",nm0587926,TRUE,howgreenwasmyvalley,43266
14,1941,Directing,DIRECTING,DIRECTING,an0056818,"How Green Was My Valley",tt0033729,"John Ford","John Ford",nm0000406,TRUE,howgreenwasmyvalley,43266
14,1941,Production,"FILM EDITING","FILM EDITING",an0056883,"How Green Was My Valley",tt0033729,"James B. Clark","James B. Clark",nm0164044,,howgreenwasmyvalley,43266
14,1941,Music,"MUSIC (Original Score)","MUSIC (Music Score of a Dramatic Picture)",an0056909,"How Green Was My Valley",tt0033729,"Alfred Newman","Alfred Newman",nm0000055,,howgreenwasmyvalley,43266
14,1941,Title,"BEST PICTURE","OUTSTANDING MOTION PICTURE",an0056788,"How Green Was My Valley",tt0033729,"20th Century-Fox","20th Century-Fox",co0028775,TRUE,howgreenwasmyvalley,43266
14,1941,Title,"SHORT FILM (Animated)","SHORT SUBJECT (Cartoon)",an0056940,Superman,tt0034247,"Max Fleischer, Producer","Max Fleischer",nm0281502,,superman,1924
14,1941,Production,"SOUND RECORDING","SOUND RECORDING",an0056875,"How Green Was My Valley",tt0033729,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director","20th Century-Fox, E. H. Hansen","co0028775,nm0360770",,howgreenwasmyvalley,43266
14,1941,Writing,"WRITING (Adapted Screenplay)","WRITING (Screenplay)",an0056835,"How Green Was My Valley",tt0033729,"Philip Dunne","Philip Dunne",nm0242897,,howgreenwasmyvalley,43266
